,CRRA,DiscFac,RiskyAvg,RiskyStd,PermShkStd,TranShkStd,solved,linear_root,cons_at_root,share_at_root,srle1
456,5.0,0.95,1.05,0.3,0.2,0.0,1,72.13564013545793,1.6120777944613625,0.17358288255001564,1.0000536867695282
457,5.0,0.95,1.05,0.3,0.2,0.1,1,72.1384104869636,1.6120434865723807,0.17356627218099394,1.0000536867695282
458,5.0,0.95,1.05,0.3,0.2,0.2,1,72.14715496609551,1.6119447042554373,0.17351656995569126,1.0000536867695282
459,5.0,0.95,1.06,0.1,0.0,0.0,0,,,,1.0000536867695282
460,5.0,0.95,1.06,0.1,0.0,0.1,0,,,,1.0000536867695282
461,5.0,0.95,1.06,0.1,0.0,0.2,0,,,,1.0000536867695282
462,5.0,0.95,1.06,0.1,0.1,0.0,0,,,,1.0000536867695282
463,5.0,0.95,1.06,0.1,0.1,0.1,0,,,,1.0000536867695282
464,5.0,0.95,1.06,0.1,0.1,0.2,0,,,,1.0000536867695282
465,5.0,0.95,1.06,0.1,0.2,0.0,0,,,,1.0000536867695282
466,5.0,0.95,1.06,0.1,0.2,0.1,0,,,,1.0000536867695282
467,5.0,0.95,1.06,0.1,0.2,0.2,0,,,,1.0000536867695282
468,5.0,0.95,1.06,0.2,0.0,0.0,0,,,,1.0000536867695282
469,5.0,0.95,1.06,0.2,0.0,0.1,0,,,,1.0000536867695282
470,5.0,0.95,1.06,0.2,0.0,0.2,0,,,,1.0000536867695282
471,5.0,0.95,1.06,0.2,0.1,0.0,0,,,,1.0000536867695282
472,5.0,0.95,1.06,0.2,0.1,0.1,0,,,,1.0000536867695282
473,5.0,0.95,1.06,0.2,0.1,0.2,0,,,,1.0000536867695282
474,5.0,0.95,1.06,0.2,0.2,0.0,0,,,,1.0000536867695282
475,5.0,0.95,1.06,0.2,0.2,0.1,0,,,,1.0000536867695282
476,5.0,0.95,1.06,0.2,0.2,0.2,0,,,,1.0000536867695282
477,5.0,0.95,1.06,0.3,0.0,0.0,1,2.9169392146856326,1.1085059932840926,1.0,1.0000536867695282
478,5.0,0.95,1.06,0.3,0.0,0.1,1,3.091318260576034,1.1183765053156247,1.0,1.0000536867695282
479,5.0,0.95,1.06,0.3,0.0,0.2,1,3.8480612624931663,1.1612110148581039,1.0,1.0000536867695282
480,5.0,0.95,1.06,0.3,0.1,0.0,1,74.70722638059222,2.1529263505626184,0.2648523829283309,1.0000536867695282
